"filename", "language", "JSON with Comments", "HTML", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "XML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\mallikni\client\src\icons\IconBedOutline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 3, 34
"c:\Users\user\Desktop\mallikni\client\src\icons\IconBurger.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 3, 27
"c:\Users\user\Desktop\mallikni\client\src\icons\IconBxChevronDown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\user\Desktop\mallikni\client\src\icons\IconChevronLeft.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 3, 22
"c:\Users\user\Desktop\mallikni\client\src\icons\IconChevronRight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 3, 22
"c:\Users\user\Desktop\mallikni\client\src\icons\IconClose.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 3, 22
"c:\Users\user\Desktop\mallikni\client\src\icons\IconDelete.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\user\Desktop\mallikni\client\src\icons\IconEmptyHeart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\user\Desktop\mallikni\client\src\icons\IconEye.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\user\Desktop\mallikni\client\src\icons\IconEyeInvisible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\user\Desktop\mallikni\client\src\icons\IconFilledHeart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\user\Desktop\mallikni\client\src\icons\IconLoader2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 3, 23
"c:\Users\user\Desktop\mallikni\client\src\icons\IconLocation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\user\Desktop\mallikni\client\src\icons\IconTick.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 3, 23
"c:\Users\user\Desktop\mallikni\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 2, 6, 31
"c:\Users\user\Desktop\mallikni\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\user\Desktop\mallikni\client\src\pages\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\src\pages\Auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 6, 38
"c:\Users\user\Desktop\mallikni\client\src\pages\ChangeEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\src\pages\ChangePassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\src\pages\Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\src\pages\Favorites.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\src\pages\Feed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 5, 24
"c:\Users\user\Desktop\mallikni\client\src\pages\Landing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 4, 12, 111
"c:\Users\user\Desktop\mallikni\client\src\pages\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 6, 26
"c:\Users\user\Desktop\mallikni\client\src\pages\MyProperties.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\src\pages\New.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 249, 0, 0, 0, 6, 24, 279
"c:\Users\user\Desktop\mallikni\client\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\user\Desktop\mallikni\client\src\pages\PrivacyPolicy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\src\pages\Property.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 170, 0, 0, 0, 1, 16, 187
"c:\Users\user\Desktop\mallikni\client\src\pages\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\src\stores\auth.store.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\user\Desktop\mallikni\client\src\stores\common.store.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\user\Desktop\mallikni\client\src\types\types.d.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 9, 96
"c:\Users\user\Desktop\mallikni\client\src\utils\utils.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 12, 52
"c:\Users\user\Desktop\mallikni\client\tailwind.config.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 5, 37
"c:\Users\user\Desktop\mallikni\client\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\user\Desktop\mallikni\client\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\user\Desktop\mallikni\client\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 21, 13, 50, 207, 25, 3276, 8, 12380, 23, 74, 500, 16577
